Support Journey,DSAT Level,Comments,id,primary_topic,subtopic,issue_type,intent,sentiment,emotion,driver_type,root_cause,failure_stage,impact_severity,customer_effort,experience_impact,confidence_score,Action_Owner
Non-SUJ identified issues,1,"The customer service rep was very nice and tried to help me with the problem, but it just wasn't possible. And that's unfortunately very bad",1261,Customer Support Experience,Support Experience Feedback,Other,Feedback,Negative,Disappointment,Policy,Support agent lacked the necessary tools or authority to resolve the specific customer issue,Support Interaction,Medium,High,Trust Loss,0.9,Support & QA
Free trial question or issue,1,I was given no support or explanation to address my concern besides that the system manages this,1263,Customer Support Experience,Support Processes & Friction,Miscommunication,Complaint,Negative,Frustration,People,Agent reliance on automated system logic without providing a human-centric explanation or solution,Support Interaction,Medium,Medium,Inconvenience,0.88,Support & QA
User has questions or issues with downloaded videos,1,Can't download my own purchased movies on a laptop but can download them on a phone.,1264,Product Features & Content,General Feedback,UX Issue,Complaint,Negative,Confusion,Product,Inconsistent feature availability or DRM restrictions across different device platforms,Product Usage,Medium,Medium,Inconvenience,0.9,Policy & Brand
User sees Ads,1,You could not be misleading.,1267,Advertising & Promotions,Ad Experience,Miscommunication,Complaint,Negative,Disappointment,Policy,Perceived lack of transparency or misleading information regarding ad-free experience,Discovery,Medium,Unknown,Trust Loss,0.85,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),2,Can’t fix problems,1270,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,People,Support agent inability to resolve technical or billing issues during the cancellation process,Resolution,Medium,High,Inconvenience,0.85,Sales & Product
I want to cancel subscription,1,I found the whole experience a net like I was talking to people who didn't exist it took far too long to get my help that I needed and it was a joke,1271,Subscriptions & Memberships,Plan Management (Individual),Delay,Complaint,Negative,Anger,Process,Excessive wait times and perceived lack of human empathy or presence in the support channel,Support Interaction,High,High,Delay,0.9,Sales & Product
I want to ask about family plan abuse,1,Your CS is not professional and cannot resolve anything but just keep saying need to wait for 24-48 hours,1273,Account Management & Security,Plan Management (Family/Student),Delay,Complaint,Negative,Frustration,People,Support staff lack of professional competency and reliance on scripted delay tactics,Resolution,Medium,High,Delay,0.9,Policy & Brand
I want to join or start a family plan,1,The issue was not addressed.,1275,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,People,Support agent failed to address the customer's specific inquiry,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Billing date & schedule,1,Everything was excellent.,1277,"Billing, Payments & Sales",Billing & Payment Issues,Other,Feedback,Positive,Satisfaction,Unknown,Unknown,Unknown,Low,Low,Unknown,0.7,Sales & Product
Question about package/plan and how to purchase,1,no help,1279,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,People,Complete failure to provide assistance or guidance,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Question about package/plan and how to purchase,1,Problem not solved,1283,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Unknown,Unknown,Resolution,Medium,Medium,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,1,I am yet not get resolutions to my query .,1284,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Negative,Frustration,Process,Extended time to reach a resolution for the customer query,Resolution,Medium,Medium,Delay,0.9,Support & QA
I want to ask about family plan abuse,1,"No actions were taken, no one reached out",1286,Subscriptions & Memberships,Policy & Enforcement,Delay,Complaint,Negative,Disappointment,Process,Lack of follow-up or visible action on reported issues,Resolution,Medium,Medium,Trust Loss,0.9,Sales & Product
Non-SUJ identified issues,1,They don't fix my problem,1288,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Unknown,Failure to resolve the customer's primary issue,Resolution,Medium,High,Trust Loss,0.85,Support & QA
I want to join or start a family plan,1,No suggestions were provided,1289,Subscriptions & Memberships,Plan Management (Individual),Miscommunication,Complaint,Negative,Disappointment,Process,Inadequate information or guidance provided during the inquiry phase,Support Interaction,Medium,Medium,Inconvenience,0.9,Sales & Product
I want to cancel subscription,1,"Bad, they didn't explain anything to me.",1292,Cancellations & Refunds,Support Processes & Friction,Miscommunication,Complaint,Negative,Frustration,People,Agent failed to explain the cancellation process or terms clearly to the customer,Support Interaction,Medium,Medium,Inconvenience,0.88,Support & QA
I want to join or start a family plan,1,You did not answer me! You made me wait forever for nothing this is sad.,1293,Subscriptions & Memberships,Plan Management (Individual),Delay,Complaint,Negative,Frustration,Process,Excessive wait times and failure to provide a response during the support session,Support Interaction,Medium,High,Delay,0.9,Sales & Product
Non-SUJ identified issues,1,"They need to pay more attention to the quality of service, as it is very expensive.",1294,General Feedback & Brand,General Feedback,Other,Feedback,Negative,Disappointment,Policy,Customer perceives the service quality as insufficient relative to the high subscription cost,Usage,Medium,Low,Financial Impact,0.85,Policy & Brand
I have a question or complaint about pricing,1,help was not provided. deeply disappointed,1299,"Billing, Payments & Sales",Support Processes & Friction,Other,Complaint,Negative,Disappointment,People,Perceived lack of assistance or refusal to help with pricing query,Resolution,High,Medium,Trust Loss,0.9,Sales & Product
Non-SUJ identified issues,4,"Thank you for your response, however I am not at all happy about losing such an important email for my work and personal use, where I have a lot of information about my bank account, documents, health, and personal app usage.",1301,Account Management & Security,Privacy & Data,Other,Complaint,Negative,Disappointment,Policy,Loss of critical personal and professional data,Resolution,Critical,High,Trust Loss,0.9,Policy & Brand
I want to join or start a family plan,1,"Random message, not helpful at all",1302,Subscriptions & Memberships,Plan Management (Family/Student),Miscommunication,Complaint,Negative,Frustration,People,Irrelevant or canned support response,Interaction,Medium,Medium,Inconvenience,0.85,Sales & Product
I want to ask about family plan abuse,1,I am still unable to access Youtube premium,1303,Subscriptions & Memberships,Plan Management (Family/Student),System Failure,Complaint,Negative,Frustration,Technical,Persistent inability to access paid features,Resolution,High,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,Did not help at all.,1304,Customer Support Experience,Support Processes & Friction,Other,Complaint,Negative,Frustration,People,Ineffective support resolution,Resolution,Medium,Medium,Inconvenience,0.8,Support & QA
Non-SUJ identified issues,1,Problem is not resolved.,1306,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,People,Support agent failed to provide a definitive resolution to the customer's problem,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
I want to know the status of my transaction,1,Did not resolve issue,1307,"Billing, Payments & Sales",Billing & Payment Issues,Other,Complaint,Negative,Disappointment,Process,Ineffective communication or lack of visibility regarding transaction status,Support Interaction,Medium,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,"The staff is very formal, but they don't focus on solving your problems.",1318,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Support staff prioritizing protocol/formality over actual problem resolution,Support Interaction,Medium,Medium,Trust Loss,0.88,Support & QA
Promotions/EFT question or issue,2,"The team didn't understand my problem, even though I explained it several times with supporting screenshots.",1322,Advertising & Promotions,Ad Experience,Miscommunication,Complaint,Negative,Frustration,People,Support team unable to process visual evidence or understand detailed explanations provided by the customer,Support Interaction,Medium,High,Inconvenience,0.9,Sales & Product
